condition,training_seed,stratum,persona_id,persona_index,eval_seed,target,mae,volatility,oscillation,final_difficulty,activations,overrides,attempted_boundary,oracle_agreement,raw_actions,final_actions
PPO-state-shuffle | G,42,grid,normal@0.60,4,8008,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,9009,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,10010,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,11011,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,12012,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,13013,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,14014,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,15015,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,16016,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,17017,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
